table_name,column_name,is_primary_key,ordinal_position
UB_AUTHORIZATION_TYPE,CLAIM_PRINT_ID,Y,1
UB_AUTH_FULL_REFERRAL,CLAIM_PRINT_ID,Y,1
UB_AUTH_FULL_REFERRAL,UB_AUTH_NUM_FULL_REFERRAL_ID,Y,4
UB_AUTH_NUM_SOURCE,CLAIM_PRINT_ID,Y,1
UB_HB_RFL_RECORD_SOURCE,CLAIM_PRINT_ID,Y,1
UB_PB_RFL_RECORD_SOURCE,CLAIM_PRINT_ID,Y,1
UB_REF_FULL_REFERRAL,CLAIM_PRINT_ID,Y,1
UB_REF_FULL_REFERRAL,UB_REF_NUM_FULL_REFERRAL_ID,Y,4
UB_SOURCE_AUTH,CLAIM_PRINT_ID,Y,1
UB_SOURCE_AUTH,UB_SOURCE_AUTH_ID,Y,4
UB_SOURCE_CLAIM_INFO,CLAIM_PRINT_ID,Y,1
UB_SOURCE_CLAIM_INFO,UB_SOURCE_CLAIM_ID,Y,4
UB_SOURCE_HSP_ACCT,CLAIM_PRINT_ID,Y,1
UB_SOURCE_HSP_ACCT,UB_SOURCE_HSP_ACCOUNT_ID,Y,4
UB_SOURCE_REFERRAL,CLAIM_PRINT_ID,Y,1
UB_SOURCE_REFERRAL,UB_SOURCE_REFERRAL_ID,Y,4
UB_SOURCE_TREAT_PLAN,CLAIM_PRINT_ID,Y,1
UB_SOURCE_TREAT_PLAN,UB_SOURCE_TREATMENT_PLAN_ID,Y,4
UCL_AMBRX_COVERAGE,UCL_ID,Y,1
UCL_AMBRX_COVERAGE,AMBRX_COVERAGE_ID,Y,3
UCL_ANES_EXCLUSION,UCL_ID,Y,1
UCL_ANES_PERIOD,UCL_ID,Y,1
UCL_BUNDLED_EPISODE,UCL_ID,Y,1
UCL_BUNDLED_EPISODE,EPISODE_ID,Y,4
UCL_BUNDLED_EPISODE,LINK_USER_ID,Y,7
UCL_CRC,UCL_ID,Y,1
UCL_DOC_PROVIDER,UCL_ID,Y,1
UCL_MEA,UCL_ID,Y,1
UCL_NDC_CODES,UCL_ID,Y,1
UCL_NDC_CODES,NDC_CODE_ID,Y,3
UCL_PAT_VST_PROG,UCL_ID,Y,1
UCL_TOOTH,UCL_ID,Y,1
UC_GROUP_CONTACT,UC_GROUP_ID,Y,1
UNCONFIRMED_PAT_STAT_HX,PAT_ID,Y,1
UNCONFIRMED_PAT_STAT_HX,UNCNFRM_HX_MYPT_ID,Y,9
UNCONFIRMED_PAT_STAT_HX,UNCNFRM_HX_USER_ID,Y,10
UNCONFRM_PAT_INFO,PAT_ID,Y,1
UNIT_OF_MEASURE,UNIT_ID,Y,1
UNIV_CHG_LN_DX,UCL_ID,Y,1
UNIV_CHG_LN_MOD,UCL_ID,Y,1
UNIV_CHG_LN_MOD,MODIFIER_ID,Y,3
UNIV_CHG_LN_MSG_HX,UCL_ID,Y,1
UNIV_CHG_LN_MSG_HX,MESSAGE_ID,Y,3
UNOS_BIO_ANTI_THRP,REGISTRY_DATA_ID,Y,1
UNOS_BKV_TREATMENT,REGISTRY_DATA_ID,Y,1
UNOS_BLD_SGR_CTRL,REGISTRY_DATA_ID,Y,1
UNOS_CARD_SURG_TYP,REGISTRY_DATA_ID,Y,1
UNOS_CLINICAL_INFO,REGISTRY_DATA_ID,Y,1
UNOS_CLINICAL_INFO,UNOS_DLYS_PROV_ID,Y,42
UNOS_CLIN_INFO_2,REGISTRY_DATA_ID,Y,1
UNOS_CLIN_INFO_3,REGISTRY_DATA_ID,Y,1
UNOS_CLIN_INFO_4,REGISTRY_DATA_ID,Y,1
UNOS_CLIN_INFO_5,REGISTRY_DATA_ID,Y,1
UNOS_DIAB_TREATMNT,REGISTRY_DATA_ID,Y,1
UNOS_ETHNICITY,REGISTRY_DATA_ID,Y,1
UNOS_IMMUNO_INFO,REGISTRY_DATA_ID,Y,1
UNOS_INFO,REGISTRY_DATA_ID,Y,1
UNOS_INFO,UNOS_REC_KEY,Y,2
UNOS_INFO,UNOS_PAT_KEY,Y,10
UNOS_INFO,UNOS_TRR_KEY,Y,18
UNOS_INS_LOSS_TYPE,REGISTRY_DATA_ID,Y,1
UNOS_KI_COMP_ST,REGISTRY_DATA_ID,Y,1
UNOS_KI_OTH_COMP,REGISTRY_DATA_ID,Y,1
UNOS_KI_VSC_COMP,REGISTRY_DATA_ID,Y,1
UNOS_LUNG_SURG_TYP,REGISTRY_DATA_ID,Y,1
UNOS_MALIG_HX_TYPE,REGISTRY_DATA_ID,Y,1
UNOS_MALIG_TYPE,REGISTRY_DATA_ID,Y,1
UNOS_OTH_THERAPIES,REGISTRY_DATA_ID,Y,1
UNOS_READM_RSN,REGISTRY_DATA_ID,Y,1
UNOS_THRR_DYSFUNCTION,REGISTRY_DATA_ID,Y,1
URETER_BIOPSY,RESULT_ID,Y,1
URETER_RESECTION,RESULT_ID,Y,1
URIN_BLADDER_BIOPS,RESULT_ID,Y,1
URIN_BLADDER_CPTR,RESULT_ID,Y,1
USED_FORMS_LIST_FINDING,FINDING_ID,Y,1
USER_AUTHORITY,ALERT_ID,Y,1
USES_SAFE_SEX,PAT_ENC_CSN_ID,Y,1
UTERINE_CERVIX_EXC,RESULT_ID,Y,1
UTERINE_CERVIX_THP,RESULT_ID,Y,1
UVEAL_MELANOMA,RESULT_ID,Y,1
